ObjectPath,Content,SceneName,Translated,TranslatedText
"LFA Case 2 Circle System/State Canvas/State 1 - 2/3/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 2 Circle System/State Canvas/State 2 - 2/3/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 2 Circle System/State Canvas/State Final Topic Slide TOP /Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 2 Circle System/State Canvas/State 3 - 4/4/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 2 Circle System/State Canvas/State 2 - 3/3/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"Quick Start Canvas/Links/Cancel/Text","Close",Korean LFA ASA 2022,Y,"Tutup"
"Quick Start Canvas/Links/Close/Text","Close",Korean LFA ASA 2022,Y,"Tutup"
"Quick Start Canvas/Links/Text","

Run the guided simulation by clicking ""Continue"" and following at your own pace the instructions in the text box

Alternatively, click the ""Explore on your own"" button to explore on your own and if you need help with the simulation user interface, use the ""Help"" button.

",Korean LFA ASA 2022,Y,"Jalankan simulasi terpandu dengan mengklik ""Lanjutkan"" dan ikuti petunjuk di kotak teks sesuai kecepatan Anda sendiri

Sebagai alternatif, klik tombol ""Jelajahi sendiri"" untuk menjelajahi sendiri dan jika Anda memerlukan bantuan dengan antarmuka pengguna simulasi, gunakan tombol ""Bantuan""."
"Quick Start Canvas/Links/Heading","Quick Start",Korean LFA ASA 2022,Y,"Mulai Cepat"
"LFA Case 2 Circle System/State Canvas/State 2 - 3/3/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 2 Circle System/State Canvas/State 1 - 1/3/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 2 Circle System/State Canvas/State 1 - 2/3/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 2 Circle System/State Canvas/State 4 - 2/4/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 2 Circle System/State Canvas/State 3 - 1-3 TOP/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 2 Circle System/State Canvas/State 2 - 2/3/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"Links Canvas/Links/Cancel/Text","Close",Korean LFA ASA 2022,Y,"Tutup"
"Links Canvas/Links/Close/Text","Close",Korean LFA ASA 2022,Y,"Tutup"
"Links Canvas/Links/Link (2)","Link to an open access journal article in a new tab",Korean LFA ASA 2022,Y,"Tautan ke artikel jurnal akses terbuka di tab baru"
"Links Canvas/Links/Link","Link to a website in a new tab",Korean LFA ASA 2022,Y,"Tautan ke situs web di tab baru"
"Links Canvas/Links/Link (3)","Play a video with play/pause control ",Korean LFA ASA 2022,Y,"Putar video dengan kontrol putar/jeda"
"Links Canvas/Links/Link (1)","Open a searchable PDF on another website",Korean LFA ASA 2022,Y,"Buka PDF yang dapat dicari di situs web lain"
"Links Canvas/Links/Link (4)","Open a searchable PDF",Korean LFA ASA 2022,Y,"Buka PDF yang dapat dicari"
"Links Canvas/Links/Heading","References, Websites, and Videos",Korean LFA ASA 2022,Y,"Referensi, Situs Web, dan Video"
"LFA Case 2 Circle System/State Canvas/State 4 - 4/4/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 2 Circle System/State Canvas/State 2 - 1/3/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 2 Circle System/State Canvas/State 4 - 3/4/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 2 Circle System/State Canvas/State 3 - 4/4/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 2 Circle System/State Canvas/State 1 - 3/3/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 2 Circle System/State Canvas/State 4 - 3/4/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 2 Circle System/State Canvas/State 1 - 1/3/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 2 Circle System/State Canvas/State 4 - 1/4/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 2 Circle System/State Canvas/State 1 - 3/3/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 2 Circle System/State Canvas/State 4 - 4/4/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 2 Circle System/State Canvas/State 4 - 2/4/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 2 Circle System/State Canvas/State 3 - 1-3 TOP/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 2 Circle System/State Canvas/State 4 - 1/4/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 2 Circle System/State Canvas/State 2 - 1/3/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 5 Maintenance/State Canvas/Topic Slide 6 last/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 7 Emergence/State Canvas/State Final Topic Slide TOP/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 7 Emergence/State Canvas/  (Hidden) Induction 3/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 1 Intro KOREAN/State Canvas/ScopeandApproach-2/Continue UI Arrow Button/Text","계속하다",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 4 Anesthetic Delivery/State Canvas/State 2 - 5/5 PLOTS/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 7 Emergence/State Canvas/  (Hidden) Induction 1/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 1 Intro KOREAN/State Canvas/UsefulDefinitions-2/Back UI Arrow Button/Text","뒤로",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 0 Help and Tour/State Canvas/ExploreOnYourOwnSubPage/Title ","Explore On Your Own vs. Guided Simulation",Korean LFA ASA 2022,Y,"Jelajahi Sendiri vs. Simulasi Terpandu"
"LFA Case 6 FGF After Induction/State Canvas/(hidden) 5-min preox/Back UI Arrow Button (1)/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"Tour UI Canvas/Tour Of Sim/Plots 4/Main/(dummy) Click to Anesthesia Machine Button (2)/Text","Anesthesia
Machine
Simulation",Korean LFA ASA 2022,Y,"Simulasi
Mesin
Anestesi"
"LFA Case 1 Intro KOREAN/State Canvas/AnatomyofCourse-2/Proceed to LMS/Text","다음 단계로 진행",Korean LFA ASA 2022,Y,"Lanjut ke langkah berikutnya"
"LFA Case 1 Intro KOREAN/State Canvas/PracticingArt-2/Back UI Arrow Button/Text","뒤로",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 7 Emergence/State Canvas/State 2 - 5/5 Plots/Continue UI Arrow Button/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"Tour UI Canvas/Tour Of Sim/Plots 5/Main/(dummy) Click to Anesthesia Machine Button (3)/Text","Anesthesia
Machine
Simulation",Korean LFA ASA 2022,Y,"Simulasi
Mesin
Anestesi"
"LFA Initial Blank State/State Canvas/Gas Sampling off (1)/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"LFA Case 8 CO2 Absorbents/State Canvas/Topic Slide 7/Continue UI Arrow Button (1)/Text","Continue",Korean LFA ASA 2022,Y,"Lanjutkan"
"LFA Case 8 CO2 Absorbents/State Canvas/State 1 - 1/2/Back UI Arrow Button/Text","Back",Korean LFA ASA 2022,Y,"Kembali"
"Main UI Canvas/Explore on your Own/Button - Explore on your own/Text - Explore on your own","Explore
on your
Own",Korean LFA ASA 2022,Y,"Jelajahi
sendiri"
"LFA Case 1 Intro KOREAN/State Canvas/PracticingArt-4/Continue UI Arrow Button/Text","계속하다",Korean LFA ASA 2022,Y,"Lanjutkan"
